"Nombre_archivo_neris","Procedencia","Biosample","type","type2","Organization","PublicationDate","Isolation_source","Collection_date_ORG","Lat","Lon","City","Country","Continent","Bioproject","Collection_year","Collection_month","Collection_day"
"GCF_002246045.1",NA,"SAMN07450619","NCBI","BD","JCVI","2017/08/04","Human",2017-04-20,"13.7563309","100.5017651"," Bangkok","Thailand","Asia","PRJNA389557",2017,4,20
"GCF_002246125.1",NA,"SAMN07450573","NCBI","BD","JCVI","2017/08/04","Human",2016-05-17,"13.7563309","100.5017651"," Bangkok","Thailand","Asia","PRJNA389557",2016,5,17
"GCF_002246155.1",NA,"SAMN07450572","NCBI","BD","JCVI","2017/08/04","Human",2016-04-29,"13.7563309","100.5017651"," Bangkok","Thailand","Asia","PRJNA389557",2016,4,29
"GCF_002246235.1",NA,"SAMN07450565","NCBI","BD","JCVI","2017/08/04","Human",2016-01-12,"13.7563309","100.5017651"," Bangkok","Thailand","Asia","PRJNA389557",2016,1,12
"GCF_002246245.1",NA,"SAMN07450567","NCBI","BD","JCVI","2017/08/04","Human",2015-12-09,"13.7563309","100.5017651"," Bangkok","Thailand","Asia","PRJNA389557",2015,12,9
"GCF_002246275.1",NA,"SAMN07450563","NCBI","BD","JCVI","2017/08/04","Human",2016-04-07,"13.7563309","100.5017651"," Bangkok","Thailand","Asia","PRJNA389557",2016,4,7
"GCF_002246285.1",NA,"SAMN07450562","NCBI","BD","JCVI","2017/08/04","Human",2016-05-11,"13.7563309","100.5017651"," Bangkok","Thailand","Asia","PRJNA389557",2016,5,11
"GCF_002246315.1",NA,"SAMN07450560","NCBI","BD","JCVI","2017/08/04","Human",2016-05-27,"13.7563309","100.5017651"," Bangkok","Thailand","Asia","PRJNA389557",2016,5,27
"GCF_002246325.1",NA,"SAMN07450561","NCBI","BD","JCVI","2017/08/04","Human",2016-05-18,"13.7563309","100.5017651"," Bangkok","Thailand","Asia","PRJNA389557",2016,5,18
"GCF_002246355.1",NA,"SAMN07450558","NCBI","BD","JCVI","2017/08/04","Human",2016-06-10,"13.7563309","100.5017651"," Bangkok","Thailand","Asia","PRJNA389557",2016,6,10
"GCF_002246365.1",NA,"SAMN07450557","NCBI","BD","JCVI","2017/08/04","Human",2016-06-16,"13.7563309","100.5017651"," Bangkok","Thailand","Asia","PRJNA389557",2016,6,16
"GCF_002246395.1",NA,"SAMN07450555","NCBI","BD","JCVI","2017/08/04","Human",2016-05-17,"13.7563309","100.5017651"," Bangkok","Thailand","Asia","PRJNA389557",2016,5,17
"GCF_002246415.1",NA,"SAMN07450556","NCBI","BD","JCVI","2017/08/04","Human",2016-06-22,"13.7563309","100.5017651"," Bangkok","Thailand","Asia","PRJNA389557",2016,6,22
"GCF_002246435.1",NA,"SAMN07450553","NCBI","BD","JCVI","2017/08/04","Human",2016-08-11,"13.7563309","100.5017651"," Bangkok","Thailand","Asia","PRJNA389557",2016,8,11
"GCF_002246455.1",NA,"SAMN07450552","NCBI","BD","JCVI","2017/08/04","Human",2016-10-10,"13.7563309","100.5017651"," Bangkok","Thailand","Asia","PRJNA389557",2016,10,10
"GCF_002246475.1",NA,"SAMN07450581","NCBI","BD","JCVI","2017/08/04","Human",2016-12-15,"13.7563309","100.5017651"," Bangkok","Thailand","Asia","PRJNA389557",2016,12,15
"GCF_002246555.1",NA,"SAMN07450622","NCBI","BD","JCVI","2017/08/04","Human",2017-01-03,"13.7563309","100.5017651"," Bangkok","Thailand","Asia","PRJNA389557",2017,1,3
"GCF_002246575.1",NA,"SAMN07450587","NCBI","BD","JCVI","2017/08/04","Human",2016-02-23,"13.7563309","100.5017651"," Bangkok","Thailand","Asia","PRJNA389557",2016,2,23
"GCF_002246635.1",NA,"SAMN07450566","NCBI","BD","JCVI","2017/08/04","Human",2016-01-05,"13.7563309","100.5017651"," Bangkok","Thailand","Asia","PRJNA389557",2016,1,5
"GCF_002246655.1",NA,"SAMN07450564","NCBI","BD","JCVI","2017/08/04","Human",2016-03-24,"13.7563309","100.5017651"," Bangkok","Thailand","Asia","PRJNA389557",2016,3,24
"GCF_002246685.1",NA,"SAMN07450559","NCBI","BD","JCVI","2017/08/04","Human",2016-08-16,"13.7563309","100.5017651"," Bangkok","Thailand","Asia","PRJNA389557",2016,8,16
"GCF_002246695.1",NA,"SAMN07450589","NCBI","BD","JCVI","2017/08/04","Human",2016-01-08,"13.7563309","100.5017651"," Bangkok","Thailand","Asia","PRJNA389557",2016,1,8
"GCF_002246705.1",NA,"SAMN07450588","NCBI","BD","JCVI","2017/08/04","Human",2016-02-17,"13.7563309","100.5017651"," Bangkok","Thailand","Asia","PRJNA389557",2016,2,17
"GCF_002246765.1",NA,"SAMN07450621","NCBI","BD","JCVI","2017/08/04","Human",2017-01-23,"13.7563309","100.5017651"," Bangkok","Thailand","Asia","PRJNA389557",2017,1,23
"GCF_002246785.1",NA,"SAMN07450592","NCBI","BD","JCVI","2017/08/04","Human",2016-01-28,"13.7563309","100.5017651"," Bangkok","Thailand","Asia","PRJNA389557",2016,1,28
"GCF_002246835.1",NA,"SAMN07450586","NCBI","BD","JCVI","2017/08/04","Human",2016-02-08,"13.7563309","100.5017651"," Bangkok","Thailand","Asia","PRJNA389557",2016,2,8
